t x u
 1.000000 0.035340 0.220228
 1.000000 0.035400 0.220595
 1.000000 0.035460 0.220963
 1.000000 0.035520 0.221331
 1.000000 0.035580 0.221698
 1.000000 0.035640 0.222066
 1.000000 0.035700 0.222433
 1.000000 0.035760 0.222801
 1.000000 0.035820 0.223168
 1.000000 0.035880 0.223536
 1.000000 0.035940 0.223903
 1.000000 0.036000 0.224271
 1.000000 0.036060 0.224638
 1.000000 0.036120 0.225005
 1.000000 0.036180 0.225373
 1.000000 0.036240 0.225740
 1.000000 0.036300 0.226107
 1.000000 0.036360 0.226475
 1.000000 0.036420 0.226842
 1.000000 0.036480 0.227209
 1.000000 0.036540 0.227576
 1.000000 0.036600 0.227943
 1.000000 0.036660 0.228310
 1.000000 0.036720 0.228677
 1.000000 0.036780 0.229044
 1.000000 0.036840 0.229411
 1.000000 0.036900 0.229778
 1.000000 0.036960 0.230145
 1.000000 0.037020 0.230512
 1.000000 0.037080 0.230879
 1.000000 0.037140 0.231245
 1.000000 0.037200 0.231612
 1.000000 0.037260 0.231979
 1.000000 0.037320 0.232345
 1.000000 0.037380 0.232712
 1.000000 0.037440 0.233079
 1.000000 0.037500 0.233445
 1.000000 0.037560 0.233812
 1.000000 0.037620 0.234178
 1.000000 0.037680 0.234545
 1.000000 0.037740 0.234911
 1.000000 0.037800 0.235278
 1.000000 0.037860 0.235644
 1.000000 0.037920 0.236011
 1.000000 0.037980 0.236377
 1.000000 0.038040 0.236743
 1.000000 0.038100 0.237109
 1.000000 0.038160 0.237476
 1.000000 0.038220 0.237842
 1.000000 0.038280 0.238208
 1.000000 0.038340 0.238574
 1.000000 0.038400 0.238940
 1.000000 0.038460 0.239306
 1.000000 0.038520 0.239672
 1.000000 0.038580 0.240038
 1.000000 0.038640 0.240404
 1.000000 0.038700 0.240770
 1.000000 0.038760 0.241136
 1.000000 0.038820 0.241502
 1.000000 0.038880 0.241868
 1.000000 0.038940 0.242233
 1.000000 0.039000 0.242599
 1.000000 0.039060 0.242965
 1.000000 0.039120 0.243331
 1.000000 0.039180 0.243696
 1.000000 0.039240 0.244062
 1.000000 0.039300 0.244427
 1.000000 0.039360 0.244793
 1.000000 0.039420 0.245158
 1.000000 0.039480 0.245524
 1.000000 0.039540 0.245889
 1.000000 0.039600 0.246255
 1.000000 0.039660 0.246620
 1.000000 0.039720 0.246985
 1.000000 0.039780 0.247351
 1.000000 0.039840 0.247716
 1.000000 0.039900 0.248081
 1.000000 0.039960 0.248446
 1.000000 0.040020 0.248812
 1.000000 0.040080 0.249177
 1.000000 0.040140 0.249542
 1.000000 0.040200 0.249907
 1.000000 0.040260 0.250272
 1.000000 0.040320 0.250637
 1.000000 0.040380 0.251002
 1.000000 0.040440 0.251367
 1.000000 0.040500 0.251732
 1.000000 0.040560 0.252096
 1.000000 0.040620 0.252461
 1.000000 0.040680 0.252826
 1.000000 0.040740 0.253191
 1.000000 0.040800 0.253555
 1.000000 0.040860 0.253920
 1.000000 0.040920 0.254285
 1.000000 0.040980 0.254649
 1.000000 0.041040 0.255014
 1.000000 0.041100 0.255378
 1.000000 0.041160 0.255743
 1.000000 0.041220 0.256107
 1.000000 0.041280 0.256472
 1.000000 0.041340 0.256836
 1.000000 0.041400 0.257200
 1.000000 0.041460 0.257565
 1.000000 0.041520 0.257929
 1.000000 0.041580 0.258293
 1.000000 0.041640 0.258657
 1.000000 0.041700 0.259021
 1.000000 0.041760 0.259385
 1.000000 0.041820 0.259750
 1.000000 0.041880 0.260114
 1.000000 0.041940 0.260478
 1.000000 0.042000 0.260842
 1.000000 0.042060 0.261205
 1.000000 0.042120 0.261569
 1.000000 0.042180 0.261933
 1.000000 0.042240 0.262297
 1.000000 0.042300 0.262661
 1.000000 0.042360 0.263024
 1.000000 0.042420 0.263388
 1.000000 0.042480 0.263752
 1.000000 0.042540 0.264115
 1.000000 0.042600 0.264479
 1.000000 0.042660 0.264843
 1.000000 0.042720 0.265206
 1.000000 0.042780 0.265570
 1.000000 0.042840 0.265933
 1.000000 0.042900 0.266296
 1.000000 0.042960 0.266660
 1.000000 0.043020 0.267023
 1.000000 0.043080 0.267386
 1.000000 0.043140 0.267750
 1.000000 0.043200 0.268113
 1.000000 0.043260 0.268476
 1.000000 0.043320 0.268839
 1.000000 0.043380 0.269202
 1.000000 0.043440 0.269565
 1.000000 0.043500 0.269928
 1.000000 0.043560 0.270291
 1.000000 0.043620 0.270654
 1.000000 0.043680 0.271017
 1.000000 0.043740 0.271380
 1.000000 0.043800 0.271743
 1.000000 0.043860 0.272106
 1.000000 0.043920 0.272468
 1.000000 0.043980 0.272831
 1.000000 0.044040 0.273194
 1.000000 0.044100 0.273556
 1.000000 0.044160 0.273919
 1.000000 0.044220 0.274281
 1.000000 0.044280 0.274644
 1.000000 0.044340 0.275006
 1.000000 0.044400 0.275369
 1.000000 0.044460 0.275731
 1.000000 0.044520 0.276094
 1.000000 0.044580 0.276456
 1.000000 0.044640 0.276818
 1.000000 0.044700 0.277181
 1.000000 0.044760 0.277543
 1.000000 0.044820 0.277905
 1.000000 0.044880 0.278267
 1.000000 0.044940 0.278629
 1.000000 0.045000 0.278991
 1.000000 0.045060 0.279353
 1.000000 0.045120 0.279715
 1.000000 0.045180 0.280077
 1.000000 0.045240 0.280439
 1.000000 0.045300 0.280801
 1.000000 0.045360 0.281163
 1.000000 0.045420 0.281524
 1.000000 0.045480 0.281886
 1.000000 0.045540 0.282248
 1.000000 0.045600 0.282609
 1.000000 0.045660 0.282971
 1.000000 0.045720 0.283333
 1.000000 0.045780 0.283694
 1.000000 0.045840 0.284056
 1.000000 0.045900 0.284417
 1.000000 0.045960 0.284778
 1.000000 0.046020 0.285140
 1.000000 0.046080 0.285501
 1.000000 0.046140 0.285862
 1.000000 0.046200 0.286224
 1.000000 0.046260 0.286585
 1.000000 0.046320 0.286946
 1.000000 0.046380 0.287307
 1.000000 0.046440 0.287668
 1.000000 0.046500 0.288029
 1.000000 0.046560 0.288390
 1.000000 0.046620 0.288751
 1.000000 0.046680 0.289112
 1.000000 0.046740 0.289473
 1.000000 0.046800 0.289834
 1.000000 0.046860 0.290194
 1.000000 0.046920 0.290555
 1.000000 0.046980 0.290916
 1.000000 0.047040 0.291277
 1.000000 0.047100 0.291637
 1.000000 0.047160 0.291998
 1.000000 0.047220 0.292358
 1.000000 0.047280 0.292719
 1.000000 0.047340 0.293079
 1.000000 0.047400 0.293440
 1.000000 0.047460 0.293800
 1.000000 0.047520 0.294160
 1.000000 0.047580 0.294521
 1.000000 0.047640 0.294881
 1.000000 0.047700 0.295241
 1.000000 0.047760 0.295601
 1.000000 0.047820 0.295961
 1.000000 0.047880 0.296322
 1.000000 0.047940 0.296682
 1.000000 0.048000 0.297042
 1.000000 0.048060 0.297402
 1.000000 0.048120 0.297761
 1.000000 0.048180 0.298121
 1.000000 0.048240 0.298481
 1.000000 0.048300 0.298841
 1.000000 0.048360 0.299201
 1.000000 0.048420 0.299560
 1.000000 0.048480 0.299920
 1.000000 0.048540 0.300280
 1.000000 0.048600 0.300639
 1.000000 0.048660 0.300999
 1.000000 0.048720 0.301358
 1.000000 0.048780 0.301718
 1.000000 0.048840 0.302077
 1.000000 0.048900 0.302436
 1.000000 0.048960 0.302796
 1.000000 0.049020 0.303155
 1.000000 0.049080 0.303514
 1.000000 0.049140 0.303873
 1.000000 0.049200 0.304233
 1.000000 0.049260 0.304592
 1.000000 0.049320 0.304951
 1.000000 0.049380 0.305310
 1.000000 0.049440 0.305669
 1.000000 0.049500 0.306028
 1.000000 0.049560 0.306387
 1.000000 0.049620 0.306745
 1.000000 0.049680 0.307104
 1.000000 0.049740 0.307463
 1.000000 0.049800 0.307822
 1.000000 0.049860 0.308180
 1.000000 0.049920 0.308539
 1.000000 0.049980 0.308897
 1.000000 0.050040 0.309256
 1.000000 0.050100 0.309615
 1.000000 0.050160 0.309973
 1.000000 0.050220 0.310331
 1.000000 0.050280 0.310690
 1.000000 0.050340 0.311048
 1.000000 0.050400 0.311406
 1.000000 0.050460 0.311765
 1.000000 0.050520 0.312123
 1.000000 0.050580 0.312481
 1.000000 0.050640 0.312839
 1.000000 0.050700 0.313197
 1.000000 0.050760 0.313555
 1.000000 0.050820 0.313913
 1.000000 0.050880 0.314271
 1.000000 0.050940 0.314629
 1.000000 0.051000 0.314987
 1.000000 0.051060 0.315344
 1.000000 0.051120 0.315702
 1.000000 0.051180 0.316060
 1.000000 0.051240 0.316417
 1.000000 0.051300 0.316775
 1.000000 0.051360 0.317133
 1.000000 0.051420 0.317490
 1.000000 0.051480 0.317847
 1.000000 0.051540 0.318205
 1.000000 0.051600 0.318562
 1.000000 0.051660 0.318920
 1.000000 0.051720 0.319277
 1.000000 0.051780 0.319634
 1.000000 0.051840 0.319991
 1.000000 0.051900 0.320348
 1.000000 0.051960 0.320706
 1.000000 0.052020 0.321063
 1.000000 0.052080 0.321420
 1.000000 0.052140 0.321777
 1.000000 0.052200 0.322134
 1.000000 0.052260 0.322490
 1.000000 0.052320 0.322847
